3	-0.424556700510838	-0.499672329639565
3.4	-0.458137744174817	-0.499729477988198
3.8	-0.477042538411185	-0.49978050250785
4.2	-0.487438103061058	-0.499827221461623
4.6	-0.493161545467616	-0.499867193586903
5	-0.49630262324357	-0.499898763945583
5.4	-0.498014809338171	-0.499925016272893
5.8	-0.498940173514635	-0.499945279477879
6.2	-0.499436943220637	-0.499960597768747
6.6	-0.499701560135025	-0.499972108166926
7	-0.49984195680043	-0.499980435403727
7.4	-0.499916179919394	-0.499986706048304
7.8	-0.499955484261516	-0.499991157811478
8.2	-0.49997641647982	-0.499994362925796
8.6	-0.499987669541535	-0.499996636091308
9	-0.499993755069292	-0.499998237847833
9.4	-0.49999720720278	-0.499999421011507
9.8	-0.499999086331798	-0.500000195502963
